c,m,response
0.000000,-1.000000,0.119203
0.009132,-1.000000,0.122012
0.018265,-1.000000,0.124877
0.027397,-1.000000,0.127800
0.036530,-1.000000,0.130782
0.045662,-1.000000,0.133822
0.054795,-1.000000,0.136922
0.063927,-1.000000,0.140082
0.073059,-1.000000,0.143302
0.082192,-1.000000,0.146585
0.091324,-1.000000,0.149929
0.100457,-1.000000,0.153336
0.109589,-1.000000,0.156805
0.118721,-1.000000,0.160339
0.127854,-1.000000,0.163937
0.136986,-1.000000,0.167599
0.146119,-1.000000,0.171326
0.155251,-1.000000,0.175119
0.164384,-1.000000,0.178978
0.173516,-1.000000,0.182903
0.182648,-1.000000,0.186894
0.191781,-1.000000,0.190952
0.200913,-1.000000,0.195077
0.210046,-1.000000,0.199269
0.219178,-1.000000,0.203529
0.228311,-1.000000,0.207856
0.237443,-1.000000,0.212250
0.246575,-1.000000,0.216712
0.255708,-1.000000,0.221241
0.264840,-1.000000,0.225838
0.273973,-1.000000,0.230502
0.283105,-1.000000,0.235233
0.292237,-1.000000,0.240031
0.301370,-1.000000,0.244895
0.310502,-1.000000,0.249825
0.319635,-1.000000,0.254822
0.328767,-1.000000,0.259883
0.337900,-1.000000,0.265010
0.347032,-1.000000,0.270200
0.356164,-1.000000,0.275454
0.365297,-1.000000,0.280771
0.374429,-1.000000,0.286150
0.383562,-1.000000,0.291591
0.392694,-1.000000,0.297091
0.401826,-1.000000,0.302652
0.410959,-1.000000,0.308270
0.420091,-1.000000,0.313946
0.429224,-1.000000,0.319678
0.438356,-1.000000,0.325465
0.447489,-1.000000,0.331306
0.456621,-1.000000,0.337200
0.465753,-1.000000,0.343144
0.474886,-1.000000,0.349138
0.484018,-1.000000,0.355180
0.493151,-1.000000,0.361268
0.502283,-1.000000,0.367402
0.511416,-1.000000,0.373579
0.520548,-1.000000,0.379797
0.529680,-1.000000,0.386055
0.538813,-1.000000,0.392350
0.547945,-1.000000,0.398682
0.557078,-1.000000,0.405048
0.566210,-1.000000,0.411446
0.575342,-1.000000,0.417874
0.584475,-1.000000,0.424330
0.593607,-1.000000,0.430812
0.602740,-1.000000,0.437318
0.611872,-1.000000,0.443845
0.621005,-1.000000,0.450392
0.630137,-1.000000,0.456956
0.639269,-1.000000,0.463535
0.648402,-1.000000,0.470127
0.657534,-1.000000,0.476729
0.666667,-1.000000,0.483340
0.675799,-1.000000,0.489956
0.684932,-1.000000,0.496575
0.694064,-1.000000,0.503196
0.703196,-1.000000,0.509816
0.712329,-1.000000,0.516432
0.721461,-1.000000,0.523043
0.730594,-1.000000,0.529646
0.739726,-1.000000,0.536238
0.748858,-1.000000,0.542817
0.757991,-1.000000,0.549382
0.767123,-1.000000,0.555929
0.776256,-1.000000,0.562457
0.785388,-1.000000,0.568964
0.794521,-1.000000,0.575447
0.803653,-1.000000,0.581904
0.812785,-1.000000,0.588333
0.821918,-1.000000,0.594732
0.831050,-1.000000,0.601099
0.840183,-1.000000,0.607432
0.849315,-1.000000,0.613729
0.858447,-1.000000,0.619988
0.867580,-1.000000,0.626208
0.876712,-1.000000,0.632386
0.885845,-1.000000,0.638521
0.894977,-1.000000,0.644611
0.904110,-1.000000,0.650655
0.913242,-1.000000,0.656650
0.922374,-1.000000,0.662596
0.931507,-1.000000,0.668491
0.940639,-1.000000,0.674334
0.949772,-1.000000,0.680123
0.958904,-1.000000,0.685857
0.968037,-1.000000,0.691535
0.977169,-1.000000,0.697156
0.986301,-1.000000,0.702718
0.995434,-1.000000,0.708221
1.004566,-1.000000,0.713663
1.013699,-1.000000,0.719044
1.022831,-1.000000,0.724363
1.031963,-1.000000,0.729620
1.041096,-1.000000,0.734812
1.050228,-1.000000,0.739941
1.059361,-1.000000,0.745005
1.068493,-1.000000,0.750003
1.077626,-1.000000,0.754936
1.086758,-1.000000,0.759803
1.095890,-1.000000,0.764603
1.105023,-1.000000,0.769336
1.114155,-1.000000,0.774002
1.123288,-1.000000,0.778601
1.132420,-1.000000,0.783133
1.141553,-1.000000,0.787597
1.150685,-1.000000,0.791994
1.159817,-1.000000,0.796323
1.168950,-1.000000,0.800585
1.178082,-1.000000,0.804779
1.187215,-1.000000,0.808907
1.196347,-1.000000,0.812967
1.205479,-1.000000,0.816961
1.214612,-1.000000,0.820888
1.223744,-1.000000,0.824749
1.232877,-1.000000,0.828544
1.242009,-1.000000,0.832274
1.251142,-1.000000,0.835938
1.260274,-1.000000,0.839538
1.269406,-1.000000,0.843074
1.278539,-1.000000,0.846546
1.287671,-1.000000,0.849955
1.296804,-1.000000,0.853301
1.305936,-1.000000,0.856585
1.315068,-1.000000,0.859808
1.324201,-1.000000,0.862970
1.333333,-1.000000,0.866072
1.342466,-1.000000,0.869114
1.351598,-1.000000,0.872098
1.360731,-1.000000,0.875023
1.369863,-1.000000,0.877890
1.378995,-1.000000,0.880701
1.388128,-1.000000,0.883456
1.397260,-1.000000,0.886155
1.406393,-1.000000,0.888800
1.415525,-1.000000,0.891390
1.424658,-1.000000,0.893928
1.433790,-1.000000,0.896413
1.442922,-1.000000,0.898847
1.452055,-1.000000,0.901229
1.461187,-1.000000,0.903562
1.470320,-1.000000,0.905845
1.479452,-1.000000,0.908080
1.488584,-1.000000,0.910267
1.497717,-1.000000,0.912407
1.506849,-1.000000,0.914500
1.515982,-1.000000,0.916548
1.525114,-1.000000,0.918552
1.534247,-1.000000,0.920511
1.543379,-1.000000,0.922428
1.552511,-1.000000,0.924302
1.561644,-1.000000,0.926134
1.570776,-1.000000,0.927925
1.579909,-1.000000,0.929677
1.589041,-1.000000,0.931389
1.598174,-1.000000,0.933062
1.607306,-1.000000,0.934697
1.616438,-1.000000,0.936295
1.625571,-1.000000,0.937857
1.634703,-1.000000,0.939383
1.643836,-1.000000,0.940873
1.652968,-1.000000,0.942329
1.662100,-1.000000,0.943752
1.671233,-1.000000,0.945141
1.680365,-1.000000,0.946498
1.689498,-1.000000,0.947824
1.698630,-1.000000,0.949118
1.707763,-1.000000,0.950382
1.716895,-1.000000,0.951616
1.726027,-1.000000,0.952821
1.735160,-1.000000,0.953997
1.744292,-1.000000,0.955146
1.753425,-1.000000,0.956267
1.762557,-1.000000,0.957361
1.771689,-1.000000,0.958429
1.780822,-1.000000,0.959472
1.789954,-1.000000,0.960489
1.799087,-1.000000,0.961482
1.808219,-1.000000,0.962451
1.817352,-1.000000,0.963396
1.826484,-1.000000,0.964319
1.835616,-1.000000,0.965219
1.844749,-1.000000,0.966097
1.853881,-1.000000,0.966954
1.863014,-1.000000,0.967790
1.872146,-1.000000,0.968605
1.881279,-1.000000,0.969401
1.890411,-1.000000,0.970177
1.899543,-1.000000,0.970934
1.908676,-1.000000,0.971672
1.917808,-1.000000,0.972392
1.926941,-1.000000,0.973094
1.936073,-1.000000,0.973779
1.945205,-1.000000,0.974447
1.954338,-1.000000,0.975098
1.963470,-1.000000,0.975733
1.972603,-1.000000,0.976352
1.981735,-1.000000,0.976956
1.990868,-1.000000,0.977545
2.000000,-1.000000,0.978119
0.000000,-0.990868,0.119972
0.009132,-0.990868,0.122788
0.018265,-0.990868,0.125661
0.027397,-0.990868,0.128592
0.036530,-0.990868,0.131580
0.045662,-0.990868,0.134627
0.054795,-0.990868,0.137734
0.063927,-0.990868,0.140900
0.073059,-0.990868,0.144128
0.082192,-0.990868,0.147416
0.091324,-0.990868,0.150766
0.100457,-0.990868,0.154179
0.109589,-0.990868,0.157654
0.118721,-0.990868,0.161193
0.127854,-0.990868,0.164796
0.136986,-0.990868,0.168463
0.146119,-0.990868,0.172195
0.155251,-0.990868,0.175992
0.164384,-0.990868,0.179855
0.173516,-0.990868,0.183783
0.182648,-0.990868,0.187778
0.191781,-0.990868,0.191839
0.200913,-0.990868,0.195967
0.210046,-0.990868,0.200161
0.219178,-0.990868,0.204423
0.228311,-0.990868,0.208751
0.237443,-0.990868,0.213147
0.246575,-0.990868,0.217609
0.255708,-0.990868,0.222139
0.264840,-0.990868,0.226736
0.273973,-0.990868,0.231400
0.283105,-0.990868,0.236130
0.292237,-0.990868,0.240926
0.301370,-0.990868,0.245789
0.310502,-0.990868,0.250717
0.319635,-0.990868,0.255711
0.328767,-0.990868,0.260770
0.337900,-0.990868,0.265893
0.347032,-0.990868,0.271079
0.356164,-0.990868,0.276329
0.365297,-0.990868,0.281641
0.374429,-0.990868,0.287015
0.383562,-0.990868,0.292449
0.392694,-0.990868,0.297944
0.401826,-0.990868,0.303497
0.410959,-0.990868,0.309108
0.420091,-0.990868,0.314777
0.429224,-0.990868,0.320500
0.438356,-0.990868,0.326279
0.447489,-0.990868,0.332110
0.456621,-0.990868,0.337994
0.465753,-0.990868,0.343928
0.474886,-0.990868,0.349911
0.484018,-0.990868,0.355942
0.493151,-0.990868,0.362019
0.502283,-0.990868,0.368141
0.511416,-0.990868,0.374305
0.520548,-0.990868,0.380510
0.529680,-0.990868,0.386755
0.538813,-0.990868,0.393037
0.547945,-0.990868,0.399354
0.557078,-0.990868,0.405705
0.566210,-0.990868,0.412088
0.575342,-0.990868,0.418501
0.584475,-0.990868,0.424941
0.593607,-0.990868,0.431407
0.602740,-0.990868,0.437897
0.611872,-0.990868,0.444407
0.621005,-0.990868,0.450937
0.630137,-0.990868,0.457484
0.639269,-0.990868,0.464045
0.648402,-0.990868,0.470619
0.657534,-0.990868,0.477204
0.666667,-0.990868,0.483796
0.675799,-0.990868,0.490393
0.684932,-0.990868,0.496994
0.694064,-0.990868,0.503597
0.703196,-0.990868,0.510197
0.712329,-0.990868,0.516795
0.721461,-0.990868,0.523386
0.730594,-0.990868,0.529970
0.739726,-0.990868,0.536543
0.748858,-0.990868,0.543103
0.757991,-0.990868,0.549648
0.767123,-0.990868,0.556176
0.776256,-0.990868,0.562685
0.785388,-0.990868,0.569173
0.794521,-0.990868,0.575636
0.803653,-0.990868,0.582074
0.812785,-0.990868,0.588484
0.821918,-0.990868,0.594865
0.831050,-0.990868,0.601213
0.840183,-0.990868,0.607527
0.849315,-0.990868,0.613806
0.858447,-0.990868,0.620047
0.867580,-0.990868,0.626249
0.876712,-0.990868,0.632409
0.885845,-0.990868,0.638527
0.894977,-0.990868,0.644599
0.904110,-0.990868,0.650626
0.913242,-0.990868,0.656605
0.922374,-0.990868,0.662535
0.931507,-0.990868,0.668414
0.940639,-0.990868,0.674241
0.949772,-0.990868,0.680014
0.958904,-0.990868,0.685733
0.968037,-0.990868,0.691396
0.977169,-0.990868,0.697002
0.986301,-0.990868,0.702551
0.995434,-0.990868,0.708040
1.004566,-0.990868,0.713469
1.013699,-0.990868,0.718837
1.022831,-0.990868,0.724144
1.031963,-0.990868,0.729388
1.041096,-0.990868,0.734569
1.050228,-0.990868,0.739686
1.059361,-0.990868,0.744739
1.068493,-0.990868,0.749726
1.077626,-0.990868,0.754649
1.086758,-0.990868,0.759506
1.095890,-0.990868,0.764296
1.105023,-0.990868,0.769021
1.114155,-0.990868,0.773678
1.123288,-0.990868,0.778269
