time,c,m,value
0.000000,0.500000,0.300000,0.000000
0.033389,0.500000,0.300000,0.010341
0.066778,0.500000,0.300000,0.020303
0.100167,0.500000,0.300000,0.029898
0.133556,0.500000,0.300000,0.039138
0.166945,0.500000,0.300000,0.048034
0.200334,0.500000,0.300000,0.056596
0.233723,0.500000,0.300000,0.064835
0.267112,0.500000,0.300000,0.072760
0.300501,0.500000,0.300000,0.080383
0.333890,0.500000,0.300000,0.087712
0.367279,0.500000,0.300000,0.094756
0.400668,0.500000,0.300000,0.101525
0.434057,0.500000,0.300000,0.108027
0.467446,0.500000,0.300000,0.114270
0.500835,0.500000,0.300000,0.120263
0.534224,0.500000,0.300000,0.126014
0.567613,0.500000,0.300000,0.131530
0.601002,0.500000,0.300000,0.136819
0.634391,0.500000,0.300000,0.141888
0.667780,0.500000,0.300000,0.146744
0.701169,0.500000,0.300000,0.151393
0.734558,0.500000,0.300000,0.155843
0.767947,0.500000,0.300000,0.160100
0.801336,0.500000,0.300000,0.164169
0.834725,0.500000,0.300000,0.168058
0.868114,0.500000,0.300000,0.171771
0.901503,0.500000,0.300000,0.175314
0.934891,0.500000,0.300000,0.178693
0.968280,0.500000,0.300000,0.181913
1.001669,0.500000,0.300000,0.184980
1.035058,0.500000,0.300000,0.187898
1.068447,0.500000,0.300000,0.190671
1.101836,0.500000,0.300000,0.193306
1.135225,0.500000,0.300000,0.195806
1.168614,0.500000,0.300000,0.198175
1.202003,0.500000,0.300000,0.200419
1.235392,0.500000,0.300000,0.202540
1.268781,0.500000,0.300000,0.204544
1.302170,0.500000,0.300000,0.206434
1.335559,0.500000,0.300000,0.208214
1.368948,0.500000,0.300000,0.209887
1.402337,0.500000,0.300000,0.211457
1.435726,0.500000,0.300000,0.212927
1.469115,0.500000,0.300000,0.214301
1.502504,0.500000,0.300000,0.215582
1.535893,0.500000,0.300000,0.216774
1.569282,0.500000,0.300000,0.217878
1.602671,0.500000,0.300000,0.218899
1.636060,0.500000,0.300000,0.219838
1.669449,0.500000,0.300000,0.220699
1.702838,0.500000,0.300000,0.221485
1.736227,0.500000,0.300000,0.222197
1.769616,0.500000,0.300000,0.222839
1.803005,0.500000,0.300000,0.223413
1.836394,0.500000,0.300000,0.223922
1.869783,0.500000,0.300000,0.224366
1.903172,0.500000,0.300000,0.224750
1.936561,0.500000,0.300000,0.225075
1.969950,0.500000,0.300000,0.225343
2.003339,0.500000,0.300000,0.225555
2.036728,0.500000,0.300000,0.225715
2.070117,0.500000,0.300000,0.225824
2.103506,0.500000,0.300000,0.225883
2.136895,0.500000,0.300000,0.225895
2.170284,0.500000,0.300000,0.225862
2.203673,0.500000,0.300000,0.225784
2.237062,0.500000,0.300000,0.225664
2.270451,0.500000,0.300000,0.225502
2.303840,0.500000,0.300000,0.225302
2.337229,0.500000,0.300000,0.225064
2.370618,0.500000,0.300000,0.224789
2.404007,0.500000,0.300000,0.224479
2.437396,0.500000,0.300000,0.224136
2.470785,0.500000,0.300000,0.223760
2.504174,0.500000,0.300000,0.223353
2.537563,0.500000,0.300000,0.222915
2.570952,0.500000,0.300000,0.222450
2.604341,0.500000,0.300000,0.221956
2.637730,0.500000,0.300000,0.221436
2.671119,0.500000,0.300000,0.220890
2.704508,0.500000,0.300000,0.220320
2.737896,0.500000,0.300000,0.219727
2.771285,0.500000,0.300000,0.219111
2.804674,0.500000,0.300000,0.218474
2.838063,0.500000,0.300000,0.217816
2.871452,0.500000,0.300000,0.217139
2.904841,0.500000,0.300000,0.216442
2.938230,0.500000,0.300000,0.215728
2.971619,0.500000,0.300000,0.214996
3.005008,0.500000,0.300000,0.214248
3.038397,0.500000,0.300000,0.213484
3.071786,0.500000,0.300000,0.212705
3.105175,0.500000,0.300000,0.211912
3.138564,0.500000,0.300000,0.211105
3.171953,0.500000,0.300000,0.210285
3.205342,0.500000,0.300000,0.209453
3.238731,0.500000,0.300000,0.208609
3.272120,0.500000,0.300000,0.207754
3.305509,0.500000,0.300000,0.206889
3.338898,0.500000,0.300000,0.206014
3.372287,0.500000,0.300000,0.205129
3.405676,0.500000,0.300000,0.204235
3.439065,0.500000,0.300000,0.203333
3.472454,0.500000,0.300000,0.202423
3.505843,0.500000,0.300000,0.201506
3.539232,0.500000,0.300000,0.200581
3.572621,0.500000,0.300000,0.199650
3.606010,0.500000,0.300000,0.198713
3.639399,0.500000,0.300000,0.197770
3.672788,0.500000,0.300000,0.196822
3.706177,0.500000,0.300000,0.195869
3.739566,0.500000,0.300000,0.194912
3.772955,0.500000,0.300000,0.193950
3.806344,0.500000,0.300000,0.192984
3.839733,0.500000,0.300000,0.192015
3.873122,0.500000,0.300000,0.191042
3.906511,0.500000,0.300000,0.190067
3.939900,0.500000,0.300000,0.189089
3.973289,0.500000,0.300000,0.188109
4.006678,0.500000,0.300000,0.187127
4.040067,0.500000,0.300000,0.186143
4.073456,0.500000,0.300000,0.185157
4.106845,0.500000,0.300000,0.184170
4.140234,0.500000,0.300000,0.183183
4.173623,0.500000,0.300000,0.182194
4.207012,0.500000,0.300000,0.181205
4.240401,0.500000,0.300000,0.180216
4.273790,0.500000,0.300000,0.179226
4.307179,0.500000,0.300000,0.178237
4.340568,0.500000,0.300000,0.177248
4.373957,0.500000,0.300000,0.176260
4.407346,0.500000,0.300000,0.175272
4.440735,0.500000,0.300000,0.174285
4.474124,0.500000,0.300000,0.173299
4.507513,0.500000,0.300000,0.172314
4.540902,0.500000,0.300000,0.171330
4.574290,0.500000,0.300000,0.170348
4.607679,0.500000,0.300000,0.169367
4.641068,0.500000,0.300000,0.168389
4.674457,0.500000,0.300000,0.167412
4.707846,0.500000,0.300000,0.166437
4.741235,0.500000,0.300000,0.165464
